Promedio,Máximo,Frecuencia del Máximo,Combinación
15.0,21.0,1.0,"A, B, P, R"
12.0,17.0,1.0,"A, B, P, S"
8.666666666666666,17.0,1.0,"A, B, P, T"
8.666666666666666,17.0,1.0,"A, B, P, U"
8.666666666666666,17.0,1.0,"A, B, P, V"
9.333333333333334,17.0,1.0,"A, B, P, W"
11.0,17.0,1.0,"A, B, P, X"
11.666666666666666,17.0,1.0,"A, B, P, Y"
9.333333333333334,17.0,1.0,"A, B, P, Z"
8.333333333333334,13.0,3.0,"A, B, Q, R"
7.666666666666667,15.0,1.0,"A, B, Q, S"
4.0,13.0,1.0,"A, B, Q, T"
5.333333333333333,13.0,1.0,"A, B, Q, U"
4.0,13.0,1.0,"A, B, Q, V"
4.666666666666667,13.0,1.0,"A, B, Q, W"
6.0,13.0,1.0,"A, B, Q, X"
7.0,13.0,2.0,"A, B, Q, Y"
5.0,13.0,1.0,"A, B, Q, Z"
11.333333333333334,15.0,1.0,"A, B, R, S"
8.0,13.0,3.0,"A, B, R, T"
8.0,13.0,3.0,"A, B, R, U"
7.666666666666667,13.0,3.0,"A, B, R, V"
8.333333333333334,13.0,3.0,"A, B, R, W"
11.0,13.0,3.0,"A, B, R, X"
11.0,13.0,4.0,"A, B, R, Y"
8.666666666666666,13.0,3.0,"A, B, R, Z"
7.666666666666667,15.0,1.0,"A, B, S, T"
7.333333333333333,15.0,1.0,"A, B, S, U"
7.0,15.0,1.0,"A, B, S, V"
8.666666666666666,15.0,1.0,"A, B, S, W"
10.0,15.0,1.0,"A, B, S, X"
10.0,15.0,1.0,"A, B, S, Y"
9.333333333333334,15.0,1.0,"A, B, S, Z"
5.0,13.0,1.0,"A, B, T, U"
4.333333333333333,13.0,1.0,"A, B, T, V"
6.0,13.0,1.0,"A, B, T, W"
6.333333333333333,13.0,1.0,"A, B, T, X"
9.0,13.0,3.0,"A, B, T, Y"
6.666666666666667,13.0,1.0,"A, B, T, Z"
5.333333333333333,13.0,1.0,"A, B, U, V"
6.666666666666667,13.0,1.0,"A, B, U, W"
7.666666666666667,13.0,1.0,"A, B, U, X"
7.333333333333333,13.0,2.0,"A, B, U, Y"
6.0,13.0,1.0,"A, B, U, Z"
5.666666666666667,13.0,1.0,"A, B, V, W"
7.0,13.0,1.0,"A, B, V, X"
7.666666666666667,13.0,2.0,"A, B, V, Y"
5.666666666666667,13.0,1.0,"A, B, V, Z"
8.333333333333334,13.0,1.0,"A, B, W, X"
8.0,13.0,2.0,"A, B, W, Y"
6.333333333333333,13.0,1.0,"A, B, W, Z"
11.0,13.0,3.0,"A, B, X, Y"
8.666666666666666,13.0,1.0,"A, B, X, Z"
8.666666666666666,13.0,2.0,"A, B, Y, Z"
9.333333333333334,15.0,1.0,"A, C, D, E"
8.0,13.0,1.0,"A, C, D, F"
10.333333333333334,17.0,1.0,"A, C, D, G"
7.333333333333333,15.0,1.0,"A, C, D, H"
6.666666666666667,11.0,1.0,"A, C, D, I"
7.0,11.0,1.0,"A, C, D, J"
5.333333333333333,11.0,1.0,"A, C, D, K"
8.333333333333334,13.0,1.0,"A, C, D, L"
6.0,11.0,1.0,"A, C, D, M"
6.0,11.0,1.0,"A, C, D, N"
11.333333333333334,21.0,1.0,"A, C, D, O"
8.666666666666666,17.0,1.0,"A, C, D, P"
5.333333333333333,11.0,1.0,"A, C, D, Q"
8.0,13.0,1.0,"A, C, D, R"
7.666666666666667,11.0,1.0,"A, C, D, S"
5.666666666666667,11.0,1.0,"A, C, D, T"
8.0,15.0,1.0,"A, C, D, U"
6.0,11.0,1.0,"A, C, D, V"
6.0,11.0,1.0,"A, C, D, W"
8.666666666666666,13.0,1.0,"A, C, D, X"
8.0,13.0,1.0,"A, C, D, Y"
6.666666666666667,11.0,1.0,"A, C, D, Z"
10.666666666666666,17.0,1.0,"A, C, E, F"
11.666666666666666,17.0,1.0,"A, C, E, G"
8.666666666666666,15.0,2.0,"A, C, E, H"
7.333333333333333,15.0,1.0,"A, C, E, I"
6.666666666666667,15.0,1.0,"A, C, E, J"
6.333333333333333,15.0,1.0,"A, C, E, K"
8.333333333333334,15.0,1.0,"A, C, E, L"
6.333333333333333,15.0,1.0,"A, C, E, M"
6.333333333333333,15.0,1.0,"A, C, E, N"
9.333333333333334,15.0,2.0,"A, C, E, O"
10.0,17.0,1.0,"A, C, E, P"
6.333333333333333,15.0,1.0,"A, C, E, Q"
9.333333333333334,15.0,1.0,"A, C, E, R"
9.666666666666666,15.0,2.0,"A, C, E, S"
6.666666666666667,15.0,1.0,"A, C, E, T"
6.666666666666667,15.0,1.0,"A, C, E, U"
6.0,15.0,1.0,"A, C, E, V"
6.333333333333333,15.0,1.0,"A, C, E, W"
8.0,15.0,1.0,"A, C, E, X"
8.0,15.0,1.0,"A, C, E, Y"
8.666666666666666,15.0,1.0,"A, C, E, Z"
9.666666666666666,17.0,1.0,"A, C, F, G"
8.666666666666666,15.0,1.0,"A, C, F, H"
6.333333333333333,13.0,1.0,"A, C, F, I"
6.666666666666667,13.0,1.0,"A, C, F, J"
6.333333333333333,13.0,1.0,"A, C, F, K"
7.0,13.0,1.0,"A, C, F, L"
6.0,13.0,1.0,"A, C, F, M"
6.0,13.0,1.0,"A, C, F, N"
8.0,15.0,1.0,"A, C, F, O"
10.666666666666666,21.0,1.0,"A, C, F, P"
6.333333333333333,13.0,1.0,"A, C, F, Q"
9.333333333333334,17.0,1.0,"A, C, F, R"
8.333333333333334,13.0,1.0,"A, C, F, S"
6.666666666666667,13.0,1.0,"A, C, F, T"
5.666666666666667,13.0,1.0,"A, C, F, U"
5.666666666666667,13.0,1.0,"A, C, F, V"
6.0,13.0,1.0,"A, C, F, W"
6.666666666666667,13.0,1.0,"A, C, F, X"
6.666666666666667,13.0,2.0,"A, C, F, Y"
6.666666666666667,13.0,1.0,"A, C, F, Z"
9.0,17.0,1.0,"A, C, G, H"
8.333333333333334,17.0,1.0,"A, C, G, I"
8.0,17.0,1.0,"A, C, G, J"
6.333333333333333,17.0,1.0,"A, C, G, K"
8.0,17.0,1.0,"A, C, G, L"
7.0,17.0,1.0,"A, C, G, M"
7.0,17.0,1.0,"A, C, G, N"
11.666666666666666,17.0,1.0,"A, C, G, O"
9.0,17.0,2.0,"A, C, G, P"
6.666666666666667,17.0,1.0,"A, C, G, Q"
8.333333333333334,17.0,1.0,"A, C, G, R"
10.0,17.0,1.0,"A, C, G, S"
7.0,17.0,1.0,"A, C, G, T"
8.333333333333334,17.0,1.0,"A, C, G, U"
7.666666666666667,17.0,1.0,"A, C, G, V"
7.0,17.0,1.0,"A, C, G, W"
9.666666666666666,17.0,1.0,"A, C, G, X"
9.0,17.0,1.0,"A, C, G, Y"
8.333333333333334,17.0,1.0,"A, C, G, Z"
8.333333333333334,15.0,2.0,"A, C, H, I"
5.666666666666667,15.0,1.0,"A, C, H, J"
6.333333333333333,15.0,1.0,"A, C, H, K"
6.333333333333333,15.0,1.0,"A, C, H, L"
8.0,17.0,1.0,"A, C, H, M"
8.0,17.0,1.0,"A, C, H, N"
7.666666666666667,15.0,2.0,"A, C, H, O"
8.666666666666666,17.0,1.0,"A, C, H, P"
5.333333333333333,15.0,1.0,"A, C, H, Q"
7.333333333333333,15.0,1.0,"A, C, H, R"
6.333333333333333,15.0,1.0,"A, C, H, S"
6.333333333333333,15.0,1.0,"A, C, H, T"
6.666666666666667,15.0,1.0,"A, C, H, U"
5.666666666666667,15.0,1.0,"A, C, H, V"
8.0,17.0,1.0,"A, C, H, W"
6.333333333333333,15.0,1.0,"A, C, H, X"
6.666666666666667,15.0,1.0,"A, C, H, Y"
7.0,15.0,1.0,"A, C, H, Z"
5.0,9.0,1.0,"A, C, I, J"
5.333333333333333,11.0,1.0,"A, C, I, K"
5.666666666666667,11.0,1.0,"A, C, I, L"
7.0,15.0,1.0,"A, C, I, M"
7.0,15.0,1.0,"A, C, I, N"
8.0,15.0,1.0,"A, C, I, O"
6.333333333333333,17.0,1.0,"A, C, I, P"
4.666666666666667,9.0,1.0,"A, C, I, Q"
6.0,13.0,1.0,"A, C, I, R"
7.0,9.0,3.0,"A, C, I, S"
7.333333333333333,17.0,1.0,"A, C, I, T"
5.0,9.0,2.0,"A, C, I, U"
5.333333333333333,9.0,1.0,"A, C, I, V"
7.0,15.0,1.0,"A, C, I, W"
6.666666666666667,9.0,2.0,"A, C, I, X"
6.333333333333333,13.0,1.0,"A, C, I, Y"
6.666666666666667,9.0,3.0,"A, C, I, Z"
3.6666666666666665,7.0,1.0,"A, C, J, K"
6.0,11.0,1.0,"A, C, J, L"
4.333333333333333,7.0,2.0,"A, C, J, M"
4.333333333333333,7.0,2.0,"A, C, J, N"
8.333333333333334,15.0,1.0,"A, C, J, O"
6.666666666666667,17.0,1.0,"A, C, J, P"
5.666666666666667,13.0,1.0,"A, C, J, Q"
6.0,13.0,1.0,"A, C, J, R"
5.333333333333333,9.0,1.0,"A, C, J, S"
4.0,7.0,1.0,"A, C, J, T"
7.0,19.0,1.0,"A, C, J, U"
4.0,7.0,1.0,"A, C, J, V"
4.333333333333333,7.0,2.0,"A, C, J, W"
5.666666666666667,9.0,1.0,"A, C, J, X"
5.333333333333333,13.0,1.0,"A, C, J, Y"
4.666666666666667,9.0,1.0,"A, C, J, Z"
4.666666666666667,11.0,1.0,"A, C, K, L"
5.0,13.0,1.0,"A, C, K, M"
5.0,13.0,1.0,"A, C, K, N"
6.666666666666667,15.0,1.0,"A, C, K, O"
5.666666666666667,17.0,1.0,"A, C, K, P"
3.3333333333333335,5.0,2.0,"A, C, K, Q"
4.333333333333333,13.0,1.0,"A, C, K, R"
4.333333333333333,9.0,1.0,"A, C, K, S"
3.3333333333333335,5.0,2.0,"A, C, K, T"
3.0,9.0,1.0,"A, C, K, U"
3.3333333333333335,5.0,2.0,"A, C, K, V"
5.0,13.0,1.0,"A, C, K, W"
6.0,13.0,1.0,"A, C, K, X"
4.666666666666667,13.0,1.0,"A, C, K, Y"
3.6666666666666665,9.0,1.0,"A, C, K, Z"
5.0,11.0,1.0,"A, C, L, M"
5.0,11.0,1.0,"A, C, L, N"
8.333333333333334,15.0,1.0,"A, C, L, O"
7.0,17.0,1.0,"A, C, L, P"
4.333333333333333,11.0,1.0,"A, C, L, Q"
6.333333333333333,13.0,1.0,"A, C, L, R"
6.0,11.0,1.0,"A, C, L, S"
4.666666666666667,11.0,1.0,"A, C, L, T"
7.0,15.0,1.0,"A, C, L, U"
4.666666666666667,11.0,1.0,"A, C, L, V"
5.0,11.0,1.0,"A, C, L, W"
5.666666666666667,11.0,1.0,"A, C, L, X"
6.0,13.0,1.0,"A, C, L, Y"
5.666666666666667,11.0,1.0,"A, C, L, Z"
7.333333333333333,21.0,1.0,"A, C, M, N"
6.333333333333333,15.0,1.0,"A, C, M, O"
6.0,17.0,1.0,"A, C, M, P"
4.0,7.0,1.0,"A, C, M, Q"
5.0,13.0,1.0,"A, C, M, R"
6.0,9.0,1.0,"A, C, M, S"
5.0,7.0,2.0,"A, C, M, T"
5.333333333333333,9.0,2.0,"A, C, M, U"
4.0,7.0,1.0,"A, C, M, V"
6.666666666666667,17.0,1.0,"A, C, M, W"
6.333333333333333,9.0,2.0,"A, C, M, X"
5.666666666666667,13.0,1.0,"A, C, M, Y"
5.0,9.0,1.0,"A, C, M, Z"
6.333333333333333,15.0,1.0,"A, C, N, O"
6.0,17.0,1.0,"A, C, N, P"
4.0,7.0,1.0,"A, C, N, Q"
5.0,13.0,1.0,"A, C, N, R"
6.0,9.0,1.0,"A, C, N, S"
5.0,7.0,2.0,"A, C, N, T"
5.333333333333333,9.0,2.0,"A, C, N, U"
3.6666666666666665,7.0,1.0,"A, C, N, V"
7.333333333333333,21.0,1.0,"A, C, N, W"
